"","Id","Portfolio Dept?","Title","Portfolio","Classification","Type of Body","GFS Sector Classification","Materiality","Description","Established By / Under","Established by / Under More Info","Creation Date","GFS Function / Sector Reported","PS Act Body","Average Staffing Level (ASL)","Max No. of  Board / Committee Members","Paid Members?","Board / Committee Appointed by","Board / Committee Appointed More Info","Annual Report Prepared and Tabled?","Auditor","Auditor Other","ABN","Parent Organisation","Parent Board / Non-Board Title","2018-19 Budget, Total Appropriations ($000)","2018-19 Budget, Total Departmental Expenses ($000)","Head Office Street Address","Head Office Suburb","Head Office State","Head Office Postcode","Head Office Country","Website Address","Strategic / Corporate / Organisational Plan","Annual Reports"
"11","O-000769","Yes","Department of Agriculture and Water Resources","Agriculture and Water Resources","A. Principal","A. Non Corporate Commonwealth Entity","GGS","Material","The Department of Agriculture and Water Resources helps drive a stronger Australian economy by building a more profitable, resilient and sustainable agriculture sector, and by supporting the sustainable and productive management and use of rivers and water resources. The department?s work contributes to: building successful primary industries; expanding agricultural fisheries and forestry exports; managing biosecurity and imported food risk; and sustaining water and other natural resources. The department has a diverse role as a policy adviser to government, researcher, program administrator, service provider, market access negotiator and regulator. It employs people with a range of skills?policy officers, program administrators, economists, meat inspectors, survey staff, biosecurity officers, researchers, veterinary officers, communicators and project managers. Employees work in a variety of places including offices, airports, mail centres, shipping ports, laboratories and abattoirs in regional centres, rural communities and capital cities throughout Australia and overseas.","Constitution and Administrative Arrangement Orders","","21 Oct 1998","Transport and Communication; Housing and Community Amenities; Agriculture, Forestry and Fishing","Yes - Department","4,558","","","","","","","","","","","3,107,184 ","818,449 ","18 Marcus Clarke Street","Canberra","ACT","2601","Australia","http://www.agriculture.gov.au/","http://www.agriculture.gov.au/about/reporting/corporate-plan","http://www.agriculture.gov.au/about/reporting/annualreport"
"12","O-000770","","Australian Fisheries Management Authority","Agriculture and Water Resources","A. Principal","A. Non Corporate Commonwealth Entity","GGS","Small","The Australian Fisheries Management Authority (AFMA) is the Australian Government agency responsible for the efficient and sustainable management of Commonwealth fish resources on behalf of the Australian community. AFMA was established under and is governed by the Fisheries Administration Act 1991. AFMA manages Commonwealth commercial fisheries across an extensive marine area generally extending from three nautical miles out to sea to the extent of the Australian Fishing Zone including Australian fishing vessels operating on the High Seas. Under its foreign compliance functions, AFMA works with other Australian Government agencies and its international counterparts to deter illegal fishing in the Australian Fishing Zone. AFMA also provides fisheries management services to Joint Authorities of the Commonwealth and state governments, including the Torres Strait Protected Zone Joint Authority (PZJA). AFMA has a Commission (not Board). Max no. of members: no more than 8 part-time Commissioners (including the Chair) plus the CEO. The commission performs and exercises all the domestic fisheries management functions and powers of AFMA. It is responsible for ensuring that all boats operating within the AFZ or a fishery under a fishing concession or port permit issued by AFMA, and people on such boats, comply with the fisheries management arrangements. This covers all fishing operations in the zone other than illegal fishing by foreign boats. It also covers all fishing outside the AFZ licensed by AFMA. The commission?s responsibilities include: ? managing Commonwealth fisheries efficiently and sustainably ? allocating and managing statutory fishing concessions, fishing licences, fishing permits and fish receiver permits ? issuing scientific and port permits to foreign boats ? developing management plans and harvest strategies for fisheries ? setting quotas and determinations for target species, bycatch species, fishing effort, fishing gear, the area of the fisheries and requirements on fishers and fish receivers to collect and report information ? ensuring compliance with domestic fisheries management arrangements and taking action against breaches of them ? establishing management advisory committees and other committees to assist with performing functions and exercising powers.","Act / Regulation","","03 Feb 1992","Agriculture, Forestry and Fishing","Yes - Statutory Agency","177","","","","","No, but disclosed in parent's financial statements","","","","","","40,323 ","40,724 ","Level 6, 73 Northbourne Ave","Civic","ACT","2600","Australia","http://www.afma.gov.au/","http://www.afma.gov.au/about/corporate-publications","http://www.afma.gov.au/about-us/afma-annual-reports/"
"13","O-000772","","Australian Pesticides and Veterinary Medicines Authority","Agriculture and Water Resources","A. Principal","B. Corporate Commonwealth Entity","GGS","Small","The Australian Pesticides and Veterinary Medicines Authority (APVMA) is the Australian Government agency responsible for the assessment of pesticides and veterinary medicines and their regulation up to and including the point of supply (e.g. retail sale). It sits within the portfolio of the Minister for Agriculture and Water Resources. The APVMA is responsible for administering and managing the national registration scheme for agricultural and veterinary chemicals, which sets out the regulatory framework for the management of pesticides and veterinary medicines in Australia. The APVMA administers the scheme's legislation in partnership with state and territory governments. Pesticides and veterinary medicines are vital to quality food and fibre production, animal health and onshore biosecurity and the community. The APVMA Chief Executive Officer is responsible for the governance and management and of the authority, including the performance of its functions and the exercise of its powers.","Act / Regulation","","15 Jun 1993","Agriculture, Forestry and Fishing","Yes - Statutory Agency","195","","","","","","","","","","","24,902 ","53,325 ","18 Wormald Street","Symonston","ACT","2609","Australia","http://www.apvma.gov.au/","http://apvma.gov.au/node/11026","http://www.apvma.gov.au/about/corporate/annual_reports/index.php"
"14","O-000773","","Cotton Research and Development Corporation","Agriculture and Water Resources","A. Principal","B. Corporate Commonwealth Entity","GGS","Small","The Cotton Research and Development Corporation (CRDC) was established by the Australian Government to work with industry to invest in research, development and extension (RD&E) for a more profitable, sustainable and dynamic cotton industry. CRDC is based in Narrabri, the centre of one of Australia's major cotton growing regions and the location of the major cotton research facility, the Australian Cotton Research Institute. The purpose of the CRDC is to support the performance of the cotton industry: helping to increase both productivity and profitability of our growers.","Act / Regulation","","01 Oct 1990","Agriculture, Forestry and Fishing","","15","","","","","","","","","","","","24,331 ","2 Lloyd Street","Narrabri","NSW","2390","Australia","http://crdc.com.au/","http://www.crdc.com.au/about-Us","http://www.crdc.com.au/about-Us"
"15","O-000774","","Fisheries Research and Development Corporation","Agriculture and Water Resources","A. Principal","B. Corporate Commonwealth Entity","GGS","Small","The Fisheries Research and Development Corporation (FRDC) is a co-funded partnership between the Australian Government and the fishing industry. It was formed as a statutory corporation in 1991, under the Primary Industries Research and Development Act 1989 (PIRD Act) and is responsible to the Minister for Agriculture. FRDC aims to ensure, on behalf of the Australian Government, that research is undertaken to assist in the management of the fisheries and aquaculture resource for ongoing sustainability. FRDC's plans and invests in fisheries priority research, development and extension (RD&E) activities in Australia. FRDC coordinates Government and industry investment, including stakeholders, to establish and address RD&E priorities. It provides leadership and facilitates the dissemination, extension and commercialisation of RD&E outcomes. FRDC also monitors and evaluates the adoption of RD&E to inform future decisions. FRDC receives funding from the Australian Government and contributions revenue from the Commonwealth and state-based fisheries. A significant proportion of funding is directed at research to benefit the three fishing industry sectors: commercial (wild catch and aquaculture), recreational and indigenous. Research that delivers a public good benefit to the Australian community is also a priority.","Act / Regulation","","02 Jul 1991","Agriculture, Forestry and Fishing","","19","","","","","","","","","","","","34,676 ","25 Geils Court","Deakin","ACT","2600","Australia","http://frdc.com.au","http://frdc.com.au/about_frdc/corporate-documents/Pages/default.aspx","http://frdc.com.au/about_frdc/corporate-documents/Pages/default.aspx"
"16","O-000775","","Grains Research and Development Corporation","Agriculture and Water Resources","A. Principal","B. Corporate Commonwealth Entity","GGS","Material","The Grains Research and Development Corporation (GRDC) is one of the world's leading grains research organisations, responsible for planning, investing in and overseeing research development and extension to deliver improvements in production, sustainability and profitability across the Australian grains industry. GRDC is a statutory corporation, established in 1990 under the Primary Industries Research and Development Act 1989. GRDC's primary objective is to drive the discovery, development and delivery of world-class innovation to enhance the productivity, profitability and sustainability of Australian grain growers and benefit the industry and the wider community. GRDC coordinates and funds research and development (R&D) activities, and monitors, evaluates and reports on the impact of R&D activities on the grains industry and the wider community. GRDC also facilitates the dissemination, adoption and commercialisation of the results of R&D.","Act / Regulation","","01 Oct 1990","Agriculture, Forestry and Fishing","","79","","","","","","","","","","","","228,870 ","Level 4, East Building, 4 National Circuit","Barton","ACT","2600","Australia","http://www.grdc.com.au","https://grdc.com.au/about/corporate-governance/annual-operational-plan","https://grdc.com.au/about/corporate-governance/annual-report"
"17","O-000776","","Murray-Darling Basin Authority","Agriculture and Water Resources","A. Principal","B. Corporate Commonwealth Entity","GGS","Small","The Murray-Darling Basin is Australia's most iconic and largest river system. It is also one of the largest river systems in the world and one of the driest. It is divided into the northern Basin (Darling system) and the southern Basin (Murray system). The Murray-Darling Basin Authority (MDBA) undertakes activities that support the sustainable and integrated management of the water resources of the Murray-Darling Basin in a way that best meets the social, economic and environmental needs of the Basin and its communities. MDBA leads the planning and management of Basin water resources, and coordinate and maintain collaborative long-term strategic relations with other Australian Government, Basin state government and local agencies; industry groups; scientists and research organisations. The Water Act 2007 requires MDBA to undertake a number of functions: - advise the Commonwealth Minister for Water on the accreditation of state water resource plans - develop a water rights information service to facilitate water trading across the Basin - manage water sharing between the states - manage all aspects of Basin water resources, including water, organisms and other components and ecosystems that contribute to the physical state and environmental value of the Basin's water resources - measure and monitor water resources in the Basin - gather information and undertake research - engage and educate the community in the management of the Basin's resources.","Act / Regulation","","03 Mar 2008","Agriculture, Forestry and Fishing","Yes - Statutory Agency","288","","","","","No, but disclosed in parent's financial statements","ANAO","","47 134 338 908","","","91,700 ","194,084 ","Level 6, 33 Allara St","Canberra City","ACT","2601","Australia","http://www.mdba.gov.au","http://www.mdba.gov.au/about-us/accountability-reporting","http://www.mdba.gov.au/about-us/accountability-reporting"
"18","O-004841","","Regional Investment Corporation","Agriculture and Water Resources","A. Principal","B. Corporate Commonwealth Entity","GGS","Material","The Regional Investment Corporation (RIC) will be the national administrator for farm business concessional loans and the National Water Infrastructure Loan Facility. The RIC will commence delivering its functions from 1 July 2018. The RIC was established and is governed by the Regional Investment Corporation Act 2018, and is a corporate Commonwealth entity within the Agriculture and Water Resources portfolio.","Act / Regulation","","08 Mar 2018","Agriculture","","","","","","","","","","","","","12,555 ","17,328 ","TBA","TBA","ACT","TBA","Australia","","",""
"19","O-000777","","Rural Industries Research and Development Corporation (trading as AgriFutures Australia)","Agriculture and Water Resources","A. Principal","B. Corporate Commonwealth Entity","GGS","Small","The Rural Industries Research and Development Corporation (RIRDC), trading as AgriFutures Australia, is a statutory authority established under the Primary Industries Research and Development Act 1989. RIRDC was established by the Australian Government to work with small and emerging industries to invest in research and development for a more sustainable, productive and profitable rural sector and further understanding of national rural issues. The Australian Government's National Science and Research Priorities and the Commonwealths Rural Research, Development and Extension Priorities provide an over-arching framework for public investment in rural research and development. RIRDC's investments are closely aligned with these priorities.","Act / Regulation","","01 Jul 1990","Agriculture, Forestry and Fishing","","18","","","","","","","","","","","","30,151 ","Building 7, CSU, Tooma Way","Wagga Wagga","NSW","2650","Australia","http://www.agrifutures.com.au/","http://www.agrifutures.com.au/about/corporate-documents/","http://www.agrifutures.com.au/wp-content/uploads/2017/08/rirdc_ar1516_final-8.pdf"
"20","O-000771","","Wine Australia","Agriculture and Water Resources","A. Principal","B. Corporate Commonwealth Entity","GGS","Small","Wine Australia is a statutory body within the Agriculture and Water Resources portfolio, established on 1 July 2014 under the Wine Australia Act 2013. Wine Australia is the research and development, marketing and regulatory body for the Australian wine industry and it is funded through several industry levies and some user-pays activities as well as matched government funding for research and development. Wine Australia was known as the Australian Grape and Wine Authority prior to 7 November 2017. It replaced the former Grape and Wine Research and Development Corporation and the Wine Australia Corporation on 30 June 2014.","Act / Regulation","","01 Jul 2014","Agriculture, Forestry and Fishing","","53","","","","","","","","","","","1,775 ","60,165 ","Cnr Botanic and Hackney Roads","Adelaide","SA","5071","Australia","http://www.wineaustralia.com/au","http://www.wineaustralia.com/au/about-Us/strategy-and-reporting","http://www.wineaustralia.com/au/about-Us/strategy-and-reporting"
